id,name,country,category,followers,engagement_rate,fit_score,cost,avg_views,avg_likes,gender_ratio,age_group
1,KOL_1,MY,fashion,13278,0.3,0.4714,170.45,3529,1058,0.68,35+
2,KOL_2,PH,beauty,13905,0.3,0.4629,217.09,4625,1387,0.2,35+
3,KOL_3,ID,tech,46463,0.3,0.3045,782.2,15077,4523,0.34,18-24
4,KOL_4,MY,tech,7224,0.3,0.8932,112.86,1850,555,0.73,35+
5,KOL_5,ID,tech,5803,0.3,0.733,99.64,1646,493,0.7,18-24
6,KOL_6,TH,tech,4587463,0.016,0.3707,3338.56,1480146,23643,0.83,18-24
7,KOL_7,ID,tech,5374,0.3,0.7785,66.79,1519,455,0.53,18-24
8,KOL_8,PH,tech,4598,0.3,0.89,76.58,1267,380,0.82,25-34
9,KOL_9,ID,fashion,6155,0.3,0.6495,106.53,2008,602,0.14,18-24
10,KOL_10,PH,beauty,44438,0.3,0.5999,688.84,14075,4222,0.22,18-24
11,KOL_11,PH,fashion,214976,0.3,0.412,3457.43,73287,21986,0.06,25-34
12,KOL_12,TH,beauty,1188,0.3,0.3802,50.0,393,117,0.27,35+
13,KOL_13,MY,fashion,3591,0.3,0.9677,61.96,1032,309,0.97,18-24
14,KOL_14,MY,fashion,9317,0.3,0.407,154.43,2882,864,0.95,35+
15,KOL_15,MY,beauty,1319,0.3,0.5541,50.0,408,122,0.24,18-24
16,KOL_16,ID,tech,19071,0.3,0.6729,243.24,6119,1835,0.48,35+
17,KOL_17,TH,tech,89507,0.3,0.4483,1363.71,25672,7701,0.71,25-34
18,KOL_18,ID,beauty,573418,0.1083,0.4573,2903.92,181910,19700,0.55,35+
19,KOL_19,PH,beauty,1964,0.3,0.9338,50.0,509,152,0.51,25-34
20,KOL_20,PH,tech,84847,0.3,0.4701,1258.95,27881,8364,0.19,18-24
21,KOL_21,TH,beauty,71213,0.3,0.3379,1133.76,23096,6928,0.1,25-34
22,KOL_22,PH,fashion,4116,0.3,0.3981,53.92,1265,379,0.25,18-24
23,KOL_23,PH,tech,9856,0.3,0.9783,173.05,3333,999,0.24,25-34
24,KOL_24,TH,tech,7570,0.3,0.4152,90.94,2292,687,0.27,25-34
25,KOL_25,MY,fashion,82845,0.3,0.6407,1088.53,24277,7283,0.97,35+
26,KOL_26,MY,beauty,1821,0.3,0.652,50.0,495,148,0.06,35+
27,KOL_27,MY,fashion,2113,0.3,0.4646,50.0,673,201,0.25,35+
28,KOL_28,ID,fashion,9565,0.3,0.4825,153.22,2712,813,0.24,25-34
29,KOL_29,MY,beauty,69929,0.3,0.8263,869.59,21236,6370,0.62,35+
30,KOL_30,ID,tech,76307,0.3,0.9533,1318.98,26279,7883,0.24,25-34
31,KOL_31,TH,fashion,837716,0.0958,0.9887,4505.49,278758,26704,0.01,35+
32,KOL_32,ID,fashion,3200,0.3,0.9228,52.65,879,263,0.27,35+
33,KOL_33,TH,beauty,5325,0.3,0.4758,92.92,1383,414,0.09,25-34
34,KOL_34,MY,beauty,3143,0.3,0.4834,51.69,1067,320,0.71,35+
35,KOL_35,TH,tech,3442,0.3,0.8842,53.33,935,280,0.43,18-24
36,KOL_36,TH,fashion,934795,0.1575,0.3279,6942.32,323098,50884,0.25,18-24
37,KOL_37,PH,beauty,526118,0.2801,0.8246,8624.2,147044,41192,0.86,18-24
38,KOL_38,MY,tech,6442,0.3,0.5882,103.2,1864,559,0.27,35+
39,KOL_39,ID,beauty,593555,0.1217,0.8716,3554.81,168389,20495,0.82,18-24
40,KOL_40,PH,fashion,62227,0.3,0.905,1107.72,17843,5352,0.35,35+
41,KOL_41,MY,beauty,3249052,0.0256,0.3193,4782.5,949214,24282,0.18,25-34
42,KOL_42,ID,tech,55309,0.3,0.5196,864.88,18016,5404,0.12,35+
43,KOL_43,ID,tech,8144,0.3,0.9479,124.04,2772,831,0.94,35+
44,KOL_44,TH,fashion,97062,0.3,0.7362,1551.08,26306,7891,0.72,25-34
45,KOL_45,ID,fashion,62743,0.3,0.6881,825.14,21132,6339,0.94,35+
46,KOL_46,TH,tech,63225,0.3,0.3003,867.54,19327,5798,0.79,35+
47,KOL_47,TH,beauty,98555,0.3,0.6312,1715.56,27419,8225,0.66,25-34
48,KOL_48,PH,fashion,887626,0.0828,0.5173,4124.91,241219,19970,0.02,18-24
49,KOL_49,ID,fashion,176366,0.3,0.9203,2725.56,56673,17001,0.49,18-24
50,KOL_50,ID,beauty,23970,0.3,0.4532,403.29,8114,2434,0.46,35+
51,KOL_51,PH,fashion,70901,0.3,0.9915,1104.12,23912,7173,0.89,35+
52,KOL_52,PH,fashion,30861,0.3,0.6323,418.33,8727,2618,0.84,25-34
53,KOL_53,ID,beauty,8206,0.3,0.5,111.85,2378,713,0.89,18-24
54,KOL_54,ID,tech,3503,0.3,0.345,50.6,1152,345,0.47,18-24
55,KOL_55,PH,tech,1320,0.3,0.8359,50.0,331,99,0.94,25-34
56,KOL_56,PH,tech,81582,0.3,0.9285,1217.97,22630,6789,0.44,18-24
57,KOL_57,MY,beauty,62994,0.3,0.8884,1103.48,20846,6253,0.53,25-34
58,KOL_58,TH,tech,27786,0.3,0.4272,376.8,8286,2485,0.21,25-34
59,KOL_59,ID,fashion,7906,0.3,0.3573,95.79,2528,758,0.05,25-34
60,KOL_60,ID,tech,1659,0.3,0.9647,50.0,420,126,0.62,18-24
61,KOL_61,MY,beauty,83920,0.3,0.6255,1136.06,27023,8106,0.17,35+
62,KOL_62,ID,beauty,1453400,0.0742,0.9502,5556.95,461734,34268,0.4,35+
63,KOL_63,MY,tech,92213,0.3,0.788,1273.42,25036,7510,0.8,35+
64,KOL_64,PH,tech,96706,0.3,0.6542,1358.47,31058,9317,0.82,18-24
